region,Household_capita,Household estimate (tonnes/year),Household_tonnes,Food_service_capita,Food service estimate (tonnes/year),Food_service_tonnes,Retail_capita,Retail estimate (tonnes/year),Retail_tonnes
Botswana,92,211802,212,28,63693,64,16,36030,36
Burkina Faso,103,2086893,2087,28,561848,562,16,317831,318
Burundi,103,1184127,1184,28,318799,319,16,180341,180
Cape Verde,100,54765,55,28,15204,15,16,8601,9
Cameroon,100,2577064,2577,28,715433,715,16,404713,405
Central African Republic,103,487305,487,28,131196,131,16,74216,74
Chad,103,1637656,1638,28,440901,441,16,249413,249
Comoros,100,84742,85,28,23526,24,16,13308,13
Congo,100,535851,536,28,148760,149,16,84152,84
Côte d’Ivoire,100,2561140,2561,28,711012,711,16,402212,402
Democratic Republic of the Congo,103,8912903,8913,28,2399593,2400,16,1357425,1357
Djibouti,100,96962,97,28,26918,27,16,15227,15
Equatorial Guinea,92,124670,125,28,37491,37,16,21208,21
Eritrea,103,359132,359,28,96688,97,16,54695,55
Eswatini,100,114341,114,28,31743,32,16,17957,18
Ethiopia,92,10327236,10327,28,3098760,3099,16,1752936,1753
Gabon,92,199748,200,28,60068,60,16,33980,34
Gambia,103,241095,241,28,64909,65,16,36719,37
Ghana,84,2555332,2555,28,840996,841,16,475743,476
Guinea,103,1311530,1312,28,353099,353,16,199744,200
Guinea-Bissau,103,197266,197,28,53109,53,16,30043,30
Kenya,99,5217367,5217,31,1637020,1637,11,576411,576
Lesotho,100,211661,212,28,58760,59,16,33240,33
Liberia,103,507043,507,28,136510,137,16,77222,77
Madagascar,103,2769594,2770,28,745649,746,16,421806,422
Malawi,103,1913062,1913,28,515048,515,16,291357,291
Mali,103,2018765,2019,28,543506,544,16,307456,307
Mauritania,100,450720,451,28,125127,125,16,70783,71
Mauritius,93,118626,119,26,32467,32,13,16267,16
Mayotte,,,,,,,,,
Mozambique,103,3118416,3118,28,839561,840,16,474931,475
Namibia,92,229344,229,28,68968,69,16,39015,39
Niger,103,2393877,2394,28,644496,644,16,364585,365
Nigeria,189,37941470,37941,28,5556257,5556,16,3143117,3143
Réunion,,,,,,,,,
Rwanda,164,2075405,2075,28,349112,349,16,197489,197
Saint Helena,,,,,,,,,
Sao Tome and Principe,100,21422,21,28,5947,6,16,3364,3
Senegal,100,1622980,1623,28,450564,451,16,254879,255
Seychelles,93,9128,9,26,2498,2,13,1252,1
Sierra Leone,103,802371,802,28,216020,216,16,122200,122
Somalia,103,1585898,1586,28,426966,427,16,241530,242
South Africa,40,2329228,2329,28,1619024,1619,16,915865,916
South Sudan,103,1136015,1136,28,305846,306,16,173014,173
Togo,103,830017,830,28,223463,223,16,126411,126
Uganda,103,4546237,4546,28,1223969,1224,16,692387,692
Tanzania,119,6907649,6908,28,1603740,1604,16,907219,907
Zambia,78,1391729,1392,28,493822,494,16,279350,279
Zimbabwe,100,1458564,1459,28,404920,405,16,229059,229
Armenia,93,275195,275,28,81775,82,16,46259,46
Azerbaijan,93,934872,935,28,277800,278,16,157148,157
Bahrain,132,216161,216,26,41966,42,13,21026,21
Cyprus,95,113306,113,26,30649,31,13,15356,15
Georgia,101,403573,404,28,110504,111,16,62511,63
Iraq,120,4734434,4734,28,1086840,1087,16,614814,615
Israel,100,848395,848,27,233752,234,51,437997,438
Jordan,93,939897,940,28,279293,279,16,157993,158
Kuwait,95,397706,398,26,107577,108,13,53898,54
Lebanon,105,717491,717,28,189547,190,16,107225,107
Oman,95,470297,470,26,127213,127,13,63736,64
Qatar,95,267724,268,26,72418,72,13,36283,36
Saudi Arabia,105,3594080,3594,26,876260,876,20,673502,674
Palestine,101,501602,502,28,137726,138,16,77910,78
Syria,104,1771842,1772,28,471955,472,16,266980,267
Turkey,93,7762575,7763,28,2306668,2307,16,1304858,1305
United Arab Emirates,95,923625,924,26,249836,250,13,125173,125
Yemen,104,3026946,3027,28,806270,806,16,456099,456
Austria,39,349249,349,28,254191,254,9,77289,77
Belgium,50,576036,576,20,227371,227,10,112100,112
France,85,5522358,5522,24,1594579,1595,26,1667568,1668
Germany,75,6263775,6264,21,1718433,1718,6,498244,498
Liechtenstein,72,2724,3,26,972,,13,487,
Luxembourg,89,54951,55,21,12868,13,7,4433,4
Monaco,72,2795,3,26,997,,13,500,
Netherlands,50,854855,855,26,437180,437,11,188068,188
Switzerland,72,615790,616,40,343656,344,13,110067,110
Channel Islands,,,,,,,,,
Other non-specified areas,,,,,,,,,
